time-window-size,L2-error Dirichlet (pySDC),L2-error Neumann (fenics)
1.0,2.02e-13,3.32e-13
0.5,
0.25,1.84e-13,3.28e-13
0.125,
0.0625,1.8e-13,3.71e-13
0.03125,
0.015625,1.96e-13,4.24e-13
0.0078125,
0.00390625,1.62e-07,1.14e-07
0.001953125,
