time-window-size,L2-error Dirichlet (pySDC),L2-error Neumann (fenics)
1.0,0.00931,0.00333
0.5,0.00486,0.00152
0.25,0.00238,0.000814
0.125,0.000957,0.00039
0.0625,0.000351,0.000171
0.03125,0.000124,7.01e-05
0.015625,4.28e-05,2.69e-05
0.0078125,1.4e-05,9.43e-06
0.00390625,4.17e-06,2.92e-06
0.001953125,1.12e-06,7.93e-07
