time-window-size,L2-error Dirichlet (pySDC),L2-error Neumann (fenics)
1.0,7.34e-10,3.01e-10
0.5,1.13e-09,5.14e-10
0.25,9.37e-10,4.72e-10
0.125,1.18e-09,5.57e-10
0.0625,2.26e-09,1.17e-09
0.03125,3.95e-09,2.84e-09
0.015625,4.81e-09,2.62e-09
0.0078125,1.4e-05,9.43e-06
0.00390625,4.17e-06,2.92e-06
0.001953125,1.12e-06,7.93e-07
