dt,2,2_order,4,4_order,8,8_order,16,16_order
1.0,0.4514002639905846,0.0,0.21383101225463516,0.0,0.003006041577627343,0.0,3.988043863984394e-09,0.0
0.5,0.3529934023330267,0.35476604337765494,0.06376462943183057,1.745642823995855,6.03647279275563e-05,5.638015347555066,9.728110909461844e-14,15.323162075345355
0.25,0.21539122075101802,0.7126817713963157,0.006738982248831401,3.2421537447712994,4.0513118901250337e-07,7.219172840679051,9.569632965320808e-14,0.023696084433468746
0.125,0.08700196289873573,1.3078395916106578,0.000333551528503634,4.3365491680163535,1.2648237775196667e-09,8.323308950510082,9.384603986836027e-14,0.028167725257203145
0.0625,0.025629340909131562,1.7632515723766249,1.2617884271800384e-05,4.724367723461977,4.954212548292385e-13,11.317993008757618,8.621380290041704e-14,0.12237700277926841
0.03125,0.0067010714168663785,1.9353326905012203,4.01505258140889e-07,4.973907332185707,8.71371458141133e-14,2.507296001671009,8.639996565503319e-14,-0.0031118744380803478
0.015625,0.0016945796611596753,1.9834643241348764,1.1591393860613725e-08,5.114292916093921,7.289451219393923e-14,0.2574776519291958,7.36509774037915e-14,0.23032606786620138
0.0078125,0.00042486748227785144,1.9958426239704914,2.985759779063136e-10,5.278812152746859,3.498109074805551e-14,1.0592349317332044,3.675823936769873e-14,1.0026370044167696
0.00390625,0.00010629352347335304,1.9989592342566942,6.5269907758075305e-12,5.515536286665612,4.7154634417135736e-14,-0.43082429301765507,4.490024712806237e-14,-0.2886557188704326
0.001953125,2.6578141992145288e-05,1.9997415370490188,1.99869158614502e-13,5.029290225270923,1.987331356309844e-13,-2.0753609665213664,1.979684518842171e-13,-2.140475251135087
